2017-12-14-12-50-27    UserID [52]    Transaction Complete 
2017-12-14-12-50-27    UserID [27]    Transaction Complete 
2017-12-14-12-50-27    UserID [38]    Transaction Complete 
2017-12-14-12-50-27    UserID [24]    Transaction Complete 
2017-12-14-12-50-27    UserID [31]    Transaction Complete 
2017-12-14-12-50-27    UserID [22]    Transaction Complete 
2017-12-14-12-50-27    UserID [20]    Transaction Complete 
2017-12-14-12-50-27    UserID [74]    Transaction Complete 
2017-12-14-12-50-27    UserID [82]    Transaction Complete 
2017-12-14-12-50-27    UserID [16]    Transaction Complete 
2017-12-14-12-50-27    UserID [45]    Transaction Complete 
2017-12-14-12-50-27    UserID [8]    Transaction Complete 
2017-12-14-12-50-27    UserID [94]    Transaction Complete 
2017-12-14-12-50-27    UserID [29]    Transaction Complete 
2017-12-14-12-50-27    UserID [64]    Transaction Complete 
2017-12-14-12-50-27    UserID [4]    Transaction Complete 
2017-12-14-12-50-27    UserID [99]    Transaction Complete 
2017-12-14-12-50-27    UserID [89]    Transaction Complete 
2017-12-14-12-50-27    UserID [33]    Transaction Complete 
2017-12-14-12-50-27    UserID [14]    Transaction Complete 
2017-12-14-12-50-27    UserID [3]    Transaction Complete 
2017-12-14-12-50-27    UserID [13]    Transaction Complete 
2017-12-14-12-50-27    UserID [6]    Transaction Complete 
2017-12-14-12-50-27    UserID [68]    Transaction Complete 
2017-12-14-12-50-27    UserID [93]    Transaction Complete 
2017-12-14-12-50-27    UserID [72]    Transaction Complete 
2017-12-14-12-50-27    UserID [23]    Transaction Complete 
2017-12-14-12-50-27    UserID [21]    Transaction Complete 
2017-12-14-12-50-27    UserID [59]    Transaction Complete 
2017-12-14-12-50-27    UserID [98]    Transaction Complete 
2017-12-14-12-50-27    UserID [25]    Transaction Complete 
2017-12-14-12-50-27    UserID [10]    Transaction Complete 
2017-12-14-12-50-27    UserID [34]    Transaction Complete 
2017-12-14-12-50-27    UserID [75]    Transaction Complete 
2017-12-14-12-50-27    UserID [19]    Transaction Complete 
2017-12-14-12-50-27    UserID [77]    Transaction Complete 
2017-12-14-12-50-27    UserID [37]    Transaction Complete 
2017-12-14-12-50-27    UserID [11]    Transaction Complete 
2017-12-14-12-50-27    UserID [90]    Transaction Complete 
2017-12-14-12-50-27    UserID [78]    Transaction Complete 
2017-12-14-12-50-27    UserID [67]    Transaction Complete 
2017-12-14-12-50-27    UserID [70]    Transaction Complete 
2017-12-14-12-50-27    UserID [63]    Transaction Complete 
2017-12-14-12-50-27    UserID [46]    Transaction Complete 
2017-12-14-12-50-27    UserID [18]    Transaction Complete 
2017-12-14-12-50-27    UserID [43]    Transaction Complete 
2017-12-14-12-50-27    UserID [26]    Transaction Complete 
2017-12-14-12-50-27    UserID [41]    Transaction Complete 
2017-12-14-12-50-27    UserID [1]    Transaction Complete 
2017-12-14-12-50-27    UserID [95]    Transaction Complete 
2017-12-14-12-50-27    UserID [39]    Transaction Complete 
2017-12-14-12-50-28    UserID [53]    Transaction Complete 
2017-12-14-12-50-28    UserID [12]    Transaction Complete 
2017-12-14-12-50-28    UserID [17]    Transaction Complete 
2017-12-14-12-50-28    UserID [80]    Transaction Complete 
2017-12-14-12-50-28    UserID [85]    Transaction Complete 
2017-12-14-12-50-28    UserID [91]    Transaction Complete 
2017-12-14-12-50-28    UserID [7]    Transaction Complete 
2017-12-14-12-50-28    UserID [15]    Transaction Complete 
2017-12-14-12-50-28    UserID [76]    Transaction Complete 
2017-12-14-12-50-28    UserID [9]    Transaction Complete 
2017-12-14-12-50-28    UserID [36]    Transaction Complete 
2017-12-14-12-50-28    UserID [55]    Transaction Complete 
2017-12-14-12-50-28    UserID [97]    Transaction Complete 
2017-12-14-12-50-28    UserID [44]    Transaction Complete 
2017-12-14-12-50-28    UserID [30]    Transaction Complete 
2017-12-14-12-50-28    UserID [51]    Transaction Complete 
2017-12-14-12-50-28    UserID [54]    Transaction Complete 
2017-12-14-12-50-28    UserID [50]    Transaction Complete 
2017-12-14-12-50-28    UserID [2]    Transaction Complete 
2017-12-14-12-50-28    UserID [79]    Transaction Complete 
2017-12-14-12-50-28    UserID [40]    Transaction Complete 
2017-12-14-12-50-28    UserID [62]    Transaction Complete 
2017-12-14-12-50-28    UserID [66]    Transaction Complete 
2017-12-14-12-50-28    UserID [86]    Transaction Complete 
2017-12-14-12-50-28    UserID [47]    Transaction Complete 
2017-12-14-12-50-28    UserID [83]    Transaction Complete 
2017-12-14-12-50-28    UserID [73]    Transaction Complete 
2017-12-14-12-50-28    UserID [81]    Transaction Complete 
2017-12-14-12-50-28    UserID [28]    Transaction Complete 
2017-12-14-12-50-28    UserID [61]    Transaction Complete 
2017-12-14-12-50-28    UserID [88]    Transaction Complete 
2017-12-14-12-50-28    UserID [0]    Transaction Complete 
2017-12-14-12-50-28    UserID [57]    Transaction Complete 
2017-12-14-12-50-28    UserID [56]    Transaction Complete 
2017-12-14-12-50-28    UserID [96]    Transaction Complete 
2017-12-14-12-50-28    UserID [69]    Transaction Complete 
2017-12-14-12-50-28    UserID [35]    Transaction Complete 
2017-12-14-12-50-28    UserID [32]    Transaction Complete 
2017-12-14-12-50-28    UserID [58]    Transaction Complete 
2017-12-14-12-50-28    UserID [84]    Transaction Complete 
2017-12-14-12-50-28    UserID [71]    Transaction Complete 
2017-12-14-12-50-28    UserID [87]    Transaction Complete 
2017-12-14-12-50-28    UserID [60]    Transaction Complete 
2017-12-14-12-50-28    UserID [49]    Transaction Complete 
2017-12-14-12-50-28    UserID [42]    Transaction Complete 
2017-12-14-12-50-28    UserID [5]    Transaction Complete 
2017-12-14-12-50-28    UserID [48]    Transaction Complete 
2017-12-14-12-50-28    UserID [92]    Transaction Complete 
2017-12-14-12-50-28    UserID [65]    Transaction Complete 
2017-12-14-12-50-29    UserID [38]    Transaction Complete 
2017-12-14-12-50-29    UserID [23]    Transaction Complete 
2017-12-14-12-50-29    UserID [27]    Transaction Complete 
2017-12-14-12-50-29    UserID [82]    Transaction Complete 
2017-12-14-12-50-29    UserID [4]    Transaction Complete 
2017-12-14-12-50-29    UserID [14]    Transaction Complete 
2017-12-14-12-50-29    UserID [74]    Transaction Complete 
2017-12-14-12-50-29    UserID [99]    Transaction Complete 
2017-12-14-12-50-29    UserID [25]    Transaction Complete 
2017-12-14-12-50-29    UserID [29]    Transaction Complete 
2017-12-14-12-50-29    UserID [31]    Transaction Complete 
2017-12-14-12-50-29    UserID [78]    Transaction Complete 
